pl_rade,log_pl_orbper,st_teff,pl_class,pl_class2
10.76,0.3900937739861125,3820.0,Jovian,Jovian
6.204,2.3811204980708474,5527.0,Jovian,Neptunian
2.354,1.0240749873074262,5701.0,Terrestrial,SuperEarth
3.05,1.6942918674862393,5636.0,Jovian,SuperEarth
4.65,2.481767869219065,5636.0,Jovian,SuperEarth
1.88,0.6792461454138591,5194.0,Terrestrial,SuperEarth
2.71,0.9856038383987036,5194.0,Terrestrial,Neptunian
2.04,1.6324178090734736,5194.0,Terrestrial,SuperEarth
15.984,0.5500406116297996,6297.0,Jovian,Jovian
2.215,1.9124228380875559,5547.0,Terrestrial,Neptunian
8.373,2.099101760038838,5820.0,Terrestrial,Jovian
14.617,0.5098339548285059,5647.0,Jovian,Jovian
1.31,0.7570110672421554,4925.0,Terrestrial,SuperEarth
